,Open,High,Low,Close,Volume
2025-07-01 09:37:00,2979.0,2980.0,2978.0,2979.0,75170685.0
2025-07-01 09:38:00,2979.0,2979.0,2978.0,2979.0,75508527.0
2025-07-01 09:39:00,2978.0,2979.0,2977.0,2979.0,75904358.0
2025-07-01 09:40:00,2978.0,2979.0,2977.0,2978.0,76365550.0
2025-07-01 09:41:00,2977.0,2979.0,2977.0,2978.0,76622243.0
2025-07-01 09:42:00,2978.0,2981.0,2978.0,2980.0,77214423.0
2025-07-01 09:43:00,2981.0,2981.0,2980.0,2980.0,77507118.0
2025-07-01 09:44:00,2980.0,2983.0,2980.0,2981.0,78195886.0
2025-07-01 09:45:00,2982.0,2982.0,2981.0,2982.0,78656571.0
2025-07-01 09:46:00,2982.0,2983.0,2981.0,2982.0,79072747.0
2025-07-01 09:47:00,2983.0,2983.0,2981.0,2983.0,79627223.0
2025-07-01 09:48:00,2983.0,2983.0,2981.0,2982.0,80214622.0
2025-07-01 09:49:00,2982.0,2983.0,2981.0,2982.0,80696768.0
2025-07-01 09:50:00,2982.0,2984.0,2981.0,2984.0,81088155.0
2025-07-01 09:51:00,2984.0,2984.0,2981.0,2982.0,81723768.0
2025-07-01 09:52:00,2983.0,2984.0,2982.0,2983.0,82405594.0
2025-07-01 09:53:00,2983.0,2984.0,2982.0,2982.0,82853509.0
2025-07-01 09:54:00,2982.0,2984.0,2982.0,2983.0,83116652.0
2025-07-01 09:55:00,2983.0,2985.0,2983.0,2984.0,82711111.0
2025-07-01 09:56:00,2984.0,2985.0,2984.0,2984.0,83934322.0
2025-07-01 09:57:00,2985.0,2986.0,2984.0,2985.0,84683080.0
2025-07-01 09:58:00,2986.0,2986.0,2983.0,2984.0,85309618.0
2025-07-01 09:59:00,2984.0,2984.0,2982.0,2984.0,84976691.0
2025-07-01 10:00:00,2983.0,2984.0,2982.0,2983.0,86225467.0
2025-07-01 10:01:00,2984.0,2984.0,2982.0,2984.0,86586354.0
2025-07-01 10:02:00,2983.0,2985.0,2983.0,2984.0,87119645.0
2025-07-01 10:03:00,2984.0,2985.0,2982.0,2983.0,87397917.0
2025-07-01 10:04:00,2982.0,2983.0,2982.0,2983.0,86825215.0
2025-07-01 10:05:00,2983.0,2984.0,2982.0,2984.0,87726175.0
2025-07-01 10:06:00,2984.0,2984.0,2983.0,2983.0,87148859.0
2025-07-01 10:07:00,2984.0,2984.0,2982.0,2983.0,88127334.0
2025-07-01 10:08:00,2983.0,2983.0,2982.0,2983.0,86965346.0
2025-07-01 10:09:00,2982.0,2983.0,2982.0,2983.0,87851777.0
2025-07-01 10:10:00,2983.0,2983.0,2981.0,2983.0,89003437.0
2025-07-01 10:11:00,2982.0,2982.0,2981.0,2982.0,89207712.0
2025-07-01 10:12:00,2981.0,2982.0,2981.0,2981.0,89458536.0
2025-07-01 10:13:00,2982.0,2982.0,2980.0,2982.0,89181857.0
2025-07-01 10:14:00,2982.0,2982.0,2980.0,2981.0,90350467.0
2025-07-01 10:15:00,2980.0,2980.0,2980.0,2980.0,1508784.0
2025-07-01 10:30:00,2980.0,2981.0,2980.0,2980.0,90284840.0
2025-07-01 10:31:00,2980.0,2981.0,2979.0,2979.0,91624195.0
2025-07-01 10:32:00,2980.0,2980.0,2978.0,2979.0,92270847.0
2025-07-01 10:33:00,2978.0,2980.0,2978.0,2980.0,92871401.0
2025-07-01 10:34:00,2979.0,2980.0,2979.0,2980.0,93284472.0
2025-07-01 10:35:00,2980.0,2983.0,2979.0,2983.0,93598145.0
2025-07-01 10:36:00,2983.0,2984.0,2982.0,2982.0,94366696.0
