2025-11-07 15:00:00,IF0000,close,long,4659.4
2025-11-10 15:00:00,IF0000,open,long,4672.0
2025-11-11 15:00:00,IF0000,close,long,4626.8
2025-11-13 15:00:00,IF0000,open,long,4677.0
2025-11-14 15:00:00,IF0000,close,long,4600.4
2025-11-17 15:00:00,IF0000,open,short,4581.4
2025-11-18 15:00:00,IF0000,close,short,4555.0
2025-11-19 15:00:00,IF0000,open,short,4565.2
2025-11-20 15:00:00,IF0000,close,short,4539.2
2025-11-21 15:00:00,IF0000,open,short,4428.4
2025-11-24 15:00:00,IF0000,close,short,4435.2
2025-11-25 15:00:00,IF0000,open,short,4473.0
2025-11-26 15:00:00,IF0000,close,short,4493.0
2025-11-27 15:00:00,IF0000,open,short,4492.6
2025-12-01 15:00:00,IF0000,close,short,4555.4
2025-12-02 15:00:00,IF0000,open,short,4535.8
2025-12-05 15:00:00,IF0000,close,short,4574.4
2025-12-08 15:00:00,IF0000,open,long,4613.2
2025-12-09 15:00:00,IF0000,close,long,4583.2
2025-12-10 15:00:00,IF0000,open,long,4574.2
2025-12-15 15:00:00,IF0000,close,long,4501.0
2025-12-16 15:00:00,IF0000,open,short,4451.4
2025-12-17 15:00:00,IF0000,close,short,4532.0
2025-12-18 15:00:00,IF0000,open,short,4505.0
2025-12-22 15:00:00,IF0000,close,short,4564.8
2025-12-23 15:00:00,IF0000,open,long,4571.4
2025-12-24 15:00:00,IF0000,close,long,4595.0
2025-12-25 15:00:00,IF0000,open,long,4610.6
2025-12-26 15:00:00,IF0000,close,long,4638.4
2025-12-29 15:00:00,IF0000,open,long,4610.2
2026-02-02 15:00:00,IF0000,close,long,4577.4
2026-02-03 15:00:00,IF0000,open,short,4653.0
2026-02-04 15:00:00,IF0000,close,short,4693.6
2026-02-05 15:00:00,IF0000,open,short,4665.2
2026-02-09 15:00:00,IF0000,close,short,4721.2
2026-02-12 15:00:00,IF0000,open,long,4716.8
2026-02-13 15:00:00,IF0000,close,long,4627.0
2026-02-16 15:00:00,IF0000,open,short,4627.0
2026-02-17 15:00:00,IF0000,close,short,4627.0
2026-02-18 15:00:00,IF0000,open,short,4627.0
2026-02-19 15:00:00,IF0000,close,short,4627.0
2026-02-20 15:00:00,IF0000,open,short,4627.0
2026-02-23 15:00:00,IF0000,close,short,4627.0
2026-02-24 15:00:00,IF0000,open,short,4683.4
2026-02-25 15:00:00,IF0000,close,short,4731.4
2026-02-26 15:00:00,IF0000,open,long,4712.2
2026-02-27 15:00:00,IF0000,close,long,4713.8
2026-03-02 15:00:00,IF0000,open,long,4711.2
